,Distrito,Mean,Var,ACF1,Seasonality,Trend,Linearity,Curvature,Peak,Entropy,Lumpiness,Lshift,Vchange,Fspots,Cpoints_ts,Cpoints_JV,KlScore,ChangeIdx
0,"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",0.05660471698113221,0.05339967960133486,0.6783333333333336,-0.0045283018867924435,0.0,0.007631142441594243,-0.6734655730494503,0,0.042522675202272556,0.006049382716049382,0.0,0.0,50.0,0,1.0,,
1,"CUSCO, LA CONVENCION, PICHARI",22.830188773584904,568.5183296190816,0.6910800518294257,0.5064803344791209,0.0,0.033095635678596705,1.560798708008733,0,0.4144337780909248,0.000912126238454172,0.20537634408602162,0.01863285415141121,16.0,5,9.0,,
2,"SAN MARTIN, SAN MARTIN, HUIMBAYOC",0.01886890566037728,0.018511888928462766,-0.00036982248520711305,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
3,"LIMA, LIMA, RIMAC",0.01886890566037728,0.018511888928462766,-0.00036982248520711305,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
4,"LORETO, MAYNAS, ALTO NANAY",0.2075480377358484,0.35315022712720534,0.6696066860923082,0.4272862142422397,0.0,0.009326951873059573,-0.7782268844153888,0,0.0464240140987946,0.0007376924249352234,0.0,0.0,46.0,0,3.0,,
5,"SAN MARTIN, MOYOBAMBA, CALZADA",0.037736830188679384,0.07404762976149944,-0.000369822485207089,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
6,"PUNO, CARABAYA, SAN GABAN",0.33962349056603863,0.7903162620150798,0.8222192714982041,0.42547169811320745,0.0,0.011446713662391259,-0.9293824908125008,0,0.04652001563489282,0.0019140624999999997,0.05,0.011111111111111112,45.0,0,2.0,,
7,"CUSCO, QUISPICANCHI, CAMANTI",1.075472320754717,3.3905290986118413,0.7276838487776454,0.4171348648498729,0.0,0.02071310091289761,1.230197113438665,0,0.07425677060649256,0.0005573809266715002,0.27142857142857146,0.03265306122448979,33.0,3,5.0,,
8,"JUNIN, SATIPO, MAZAMARI",4.735849377358491,51.703806146671646,0.6831174631894452,0.41217885060983367,0.0,0.018242064312762353,1.147072219851093,0,0.2735744049411017,7.782868249340551e-05,0.1457142857142857,0.007482993197278907,34.0,5,3.0,,
9,"SAN MARTIN, MOYOBAMBA, HABANA",0.056604754716981245,0.16660722249912843,-0.019970414201183444,-0.020682148040638615,0.9602091082738451,0.0025437141471979867,-0.14367265558413497,0,0.0824946909208231,0.0,0.0,0.0,42.0,0,2.0,,
10,"LORETO, MARISCAL RAMON CASTILLA, SAN PABLO",0.5471706226415103,2.5119250644358977,0.6641946197428192,0.21351024686604203,0.0,0.008196412252082655,-0.682445114025685,0,0.05111035082512912,0.00021142516290613623,0.04444444444444444,0.0032921810699588477,43.0,1,1.0,,
11,"SAN MARTIN, LAMAS, LAMAS",0.9622647358490553,2.0740465781419277,0.517474644914898,-0.09342634514116939,0.6197094788706163,0.021621570251182883,-0.5836701633123701,0,0.34562931649749934,0.0018000781130925163,0.2666666666666665,0.048148148148148134,18.0,2,4.0,,
12,"LAMBAYEQUE, CHICLAYO, LA VICTORIA",0.03773681132075485,0.03631178212890786,0.508861236802413,-0.002959674435812059,0.22788296041178546,0.005087428294396174,-0.45795658967522057,0,0.040821994520255166,0.0019753086419753104,0.0,0.0,51.0,0,1.0,,
13,"AMAZONAS, UTCUBAMBA, CAJARURO",0.7547177169811304,2.637948337486847,0.7016063844612938,0.3685891070200902,0.43280132375095715,0.01453550941255999,-0.869732682910506,0,0.12001767345779983,0.0036994616440680556,0.14285714285714285,0.009977324263038545,34.0,2,4.0,,
14,"CAJAMARCA, JAEN, COLASAY",0.09434058490566051,0.23638287290854523,0.47205163840389336,-0.002841554898840647,0.24096908818472373,0.004239523578663481,-0.38312708155911096,0,0.040821994520255166,0.00039018442310623377,0.0,0.0,51.0,0,1.0,,
15,"AYACUCHO, LA MAR, SANTA ROSA",10.54717016981132,301.417578767533,0.8085464984765085,0.6028338010042575,0.0,0.01895914944378263,-1.2993994425494613,0,0.14327489289705211,7.161723298277701e-05,0.19733333333333336,0.01900246913580248,34.0,1,1.0,,
16,"LORETO, REQUENA, JENARO HERRERA",2.2641516415094323,26.156636212175417,0.6113289739701947,0.4072080946616464,0.0,0.011305396209769027,-0.8138124727179767,0,0.05730734525730629,0.0007423236719935068,0.06666666666666665,0.004511507392165827,42.0,2,4.0,,
17,"LAMBAYEQUE, CHICLAYO, JOSE LEONARDO ORTIZ",0.3396234339622643,0.6771087532931525,0.3632613391678687,0.1517072396484336,0.8309860106494165,0.011446713662390697,0.026938622920679032,1,0.3037321192931747,0.0017185088734567912,0.125,0.017361111111111112,24.0,0,2.0,,
18,"AREQUIPA, CARAVELI, BELLA UNION",0.01886890566037736,0.018511888928462797,-0.0003698224852071037,-0.001451378809869373,0.6689075630252714,0.0025437141471979785,0.2334680653242751,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,1.0,,
19,"UCAYALI, ATALAYA, SEPAHUA",0.6603781886792441,8.035598761125097,0.38877639062388125,0.01442261074833071,0.9300618272106451,0.004685789218522449,-0.004253466776913698,1,0.10333314547532428,0.0020359708188735478,0.03684210526315789,0.0007694675284702985,26.0,2,2.0,,
20,"JUNIN, HUANCAYO, SAPALLANGA",0.018868905660377324,0.01851188892846278,-0.01997041420118344,-0.020682148040638608,0.9725482574714345,0.0025437141471978957,0.02693862292201063,1,0.0824946909208231,0.0019753086419753083,0.0,0.0,29.0,0,2.0,,
21,"LIMA, LIMA, LOS OLIVOS",0.07547262264150954,0.06977558134574424,-0.06397174254317115,-0.0673854447439353,0.8671947510629806,0.010174856588792018,-0.4130588848060169,0,0.1405630639882034,0.006296296296296297,0.0,0.0,32.0,0,6.0,,
22,"HUANUCO, PUERTO INCA, PUERTO INCA",3.716981622641508,28.4670664848703,0.8780006167305083,0.6119256023701228,0.0,0.022777803954454952,-1.471012075924785,0,0.08680144731529948,0.000279505865061838,0.26818181818181824,0.012511478420569336,34.0,3,3.0,,
23,"LORETO, MAYNAS, NAPO",0.2830196603773585,0.3538621359916206,0.8672224618947726,0.47184996773091387,0.0,0.019077856103984565,1.3828493099969492,0,0.058365414589983886,0.002500000000000001,0.35,0.06944444444444445,42.0,0,4.0,,
24,"CUSCO, LA CONVENCION, MEGANTONI",1.433963075471698,13.264504615165691,0.7202186003272949,0.445493168859316,0.0,0.01074012639928027,0.8775006985153028,0,0.04995093040539431,0.00045353223593964335,0.061111111111111116,0.008539094650205761,43.0,3,3.0,,
25,"LORETO, PUTUMAYO, TENIENTE MANUEL CLAVERO",0.15094432075471706,0.39231015165546296,0.14316617708361387,-0.05519980823887956,0.9691556309721843,0.00508742829439586,0.029183508166129846,0,0.13643415228248398,0.0018518518518518528,0.0,0.0,19.0,0,2.0,,
26,"SAN MARTIN, LAMAS, TABALOSOS",1.3018874339622628,5.418296656461608,0.43120887162649635,0.06903280192398285,0.6454298478961682,0.017551627615666157,-0.6501187665182132,0,0.2208682374770743,0.0010066666666666666,0.16999999999999998,0.023666666666666662,26.0,7,6.0,,
27,"ICA, CHINCHA, EL CARMEN",0.01886890566037728,0.018511888928462766,-0.00036982248520711305,-0.0014513788098693774,0.6689075630245426,0.0025437141471980926,-0.2334680653249906,0,0.04000533461369913,0.0,0.0,0.0,52.0,0,0.0,,
