Fecha,ix,Departamento,Distrito,casosAccumAnho,nuevosCasos,Semana,Anho,Fecha_x,Fecha_y,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max
2016-01-03,0,LIMA,COMAS,0,0,1,2016,2016-01-03,2016-01-03,22.471457503331223,74.68248397777822,26.711485449003533,18.75506362900194,55.1895969472002,92.17770903280604
2016-01-10,1,LIMA,COMAS,0,0,2,2016,2016-01-10,2016-01-10,22.663623423878096,75.93764186040299,26.931425838603275,19.644185444202776,51.32813689999992,94.1287064800063
2016-01-17,2,LIMA,COMAS,0,0,3,2016,2016-01-17,2016-01-17,22.04245861381376,77.58422064947852,26.991818896203768,19.125826299802327,54.035095088801,95.26148103761464
2016-01-24,3,LIMA,COMAS,0,0,4,2016,2016-01-24,2016-01-24,22.640361531424315,76.49002517744664,27.696781231002888,19.677619044202856,46.35457456640298,96.4460822128124
2016-01-31,4,LIMA,COMAS,0,0,5,2016,2016-01-31,2016-01-31,23.80250497771433,71.81969137629815,27.82500668440366,20.862914826202143,49.64410871679838,90.68158072480225
2016-02-07,5,LIMA,COMAS,0,0,6,2016,2016-02-07,2016-02-07,23.994054019724945,72.93068336343036,27.92615701980389,21.32438626220346,55.99217666080346,87.97125762720654
2016-02-14,6,LIMA,COMAS,1,1,7,2016,2016-02-14,2016-02-14,23.41935273853864,77.80599326589115,28.200526312203465,20.777077054602955,52.86235659440041,94.44046189360957
2016-02-21,7,LIMA,COMAS,2,1,8,2016,2016-02-21,2016-02-21,24.13947654833154,76.8342473760055,28.9433547310029,21.287893942802896,49.4494355440049,97.41840162160712
2016-02-28,8,LIMA,COMAS,3,1,9,2016,2016-02-28,2016-02-28,25.257965296846653,69.03785706169944,29.775239733003843,22.41962285040336,45.68178751679838,89.68438472160703
2016-03-06,9,LIMA,COMAS,4,1,10,2016,2016-03-06,2016-03-06,24.69262181617132,71.11173382157033,27.8596803580038,21.803712267802894,54.36571026159441,89.30984854960454
2016-03-13,10,LIMA,COMAS,8,4,11,2016,2016-03-13,2016-03-13,24.904968776846623,67.16227508829819,28.334625765604244,22.34621937820316,49.84693361679837,81.32202754160072
2016-03-20,11,LIMA,COMAS,9,1,12,2016,2016-03-20,2016-03-20,23.5821234577636,75.67069156039054,28.011676231002863,20.704842740003187,51.95812594960443,94.2818691384056
2016-03-27,12,LIMA,COMAS,19,10,13,2016,2016-03-27,2016-03-27,24.318191628763817,71.52701382980233,27.936820561602417,20.962746031002894,50.07036423919641,91.29641538801006
2016-04-03,13,LIMA,COMAS,27,8,14,2016,2016-04-03,2016-04-03,24.22685085649253,70.57361553557188,28.748654510803533,21.41885659840244,47.63320079999994,86.59400307440679
2016-04-10,14,LIMA,COMAS,30,3,15,2016,2016-04-10,2016-04-10,22.92806074600633,75.31732581574822,27.117949972002577,19.56848698520253,55.98489683280598,93.8731068600126
2016-04-17,15,LIMA,COMAS,34,4,16,2016,2016-04-17,2016-04-17,22.225606225670735,73.49274502388985,26.01637749220191,19.82516340320308,52.60799881841172,90.4952899744068
2016-04-24,16,LIMA,COMAS,38,4,17,2016,2016-04-24,2016-04-24,21.2770320675812,76.57605551637756,25.39374385320309,18.525245624802324,56.09748499920904,94.02210349920908
2016-05-01,17,LIMA,COMAS,44,6,18,2016,2016-05-01,2016-05-01,21.352490693584933,75.16260918973421,26.059493365003163,18.437670513603337,50.10384679120527,94.59697772081611
2016-05-08,18,LIMA,COMAS,47,3,19,2016,2016-05-08,2016-05-08,21.437466185313507,73.69989787416274,26.202945787203475,18.013218790802,51.36677371360321,93.35248856241688
2016-05-15,19,LIMA,COMAS,48,1,20,2016,2016-05-15,2016-05-15,20.953309975431207,75.56314774049348,25.25631226020249,17.910018239402064,54.384492574406806,93.6200351488136
2016-05-22,20,LIMA,COMAS,48,0,21,2016,2016-05-22,2016-05-22,20.02900437629512,76.76866484045111,23.99791232760208,17.226749291403053,54.56681369120526,94.55465885200888
2016-05-29,21,LIMA,COMAS,48,0,22,2016,2016-05-29,2016-05-29,19.812232712080995,73.39924856972132,24.484247157402763,16.13811631020252,52.308812749604506,89.78132454640932
2016-06-05,22,LIMA,COMAS,48,0,23,2016,2016-06-05,2016-06-05,19.492317505799083,71.83212052662462,24.363320667802896,15.73259520400194,49.92497212160701,91.77822039601384
2016-06-12,23,LIMA,COMAS,48,0,24,2016,2016-06-12,2016-06-12,18.99954991138799,75.55287984260964,23.551376055401818,15.597268877602062,56.58324240240428,91.37947856320784
2016-06-19,24,LIMA,COMAS,48,0,25,2016,2016-06-19,2016-06-19,18.589639996787888,78.88039515889918,23.76948374560272,14.927744177602053,55.57391945760834,99.692059485606
2016-06-26,25,LIMA,COMAS,48,0,26,2016,2016-06-26,2016-06-26,17.53355911809486,77.17609456184013,22.152535593601726,13.96385472420127,54.105707518411805,95.64244979360964
2016-07-03,26,LIMA,COMAS,48,0,27,2016,2016-07-03,2016-07-03,17.883835891398544,76.48282495949742,22.34699504080197,14.477934314402148,53.948269657608265,95.78216612961089
2016-07-10,27,LIMA,COMAS,48,0,28,2016,2016-07-10,2016-07-10,17.94313183101996,77.14516230172634,22.19752178940212,14.703494730401758,54.751229227206494,94.54359211281238
2016-07-17,28,LIMA,COMAS,48,0,29,2016,2016-07-17,2016-07-17,17.413246258380493,79.53127625135632,22.06023996160235,14.106141570001624,56.42611177681108,96.36451331521666
2016-07-24,29,LIMA,COMAS,48,0,30,2016,2016-07-24,2016-07-24,17.70244284121608,78.49686693384322,22.285164444202792,14.18979649640147,53.30639111040813,98.6372812904144
2016-07-31,30,LIMA,COMAS,48,0,31,2016,2016-07-31,2016-07-31,17.315854382844513,79.26152217621286,22.609253861602383,13.888288270001624,50.72026451040807,99.58798066561216
2016-08-07,31,LIMA,COMAS,48,0,32,2016,2016-08-07,2016-08-07,17.518002733026847,76.91451382374132,22.4339658040019,14.218801193601736,53.85001936561208,98.68792378241064
2016-08-14,32,LIMA,COMAS,48,0,33,2016,2016-08-14,2016-08-14,17.502649234601844,72.90322655012423,22.28578971720185,13.523090991600782,51.92850393521031,93.7830999904144
2016-08-21,33,LIMA,COMAS,48,0,34,2016,2016-08-21,2016-08-21,17.399743915451882,76.43396389215432,22.52826669980232,13.647693749201268,52.45593450721281,95.89543780480862
2016-08-28,34,LIMA,COMAS,48,0,35,2016,2016-08-28,2016-08-28,18.125301783234036,76.42412324058273,23.10355475740272,14.272233731801748,53.35876581920281,97.08914388801011
2016-09-04,35,LIMA,COMAS,48,0,36,2016,2016-09-04,2016-09-04,17.617253111727216,74.62421194191084,22.59743956780295,14.034713879001911,52.09106632401128,94.69911478161964
2016-09-11,36,LIMA,COMAS,48,0,37,2016,2016-09-11,2016-09-11,18.106484988598385,69.97129919568226,23.73250546580197,13.797493347801378,45.32428428241054,93.17141137121163
2016-09-18,37,LIMA,COMAS,48,0,38,2016,2016-09-18,2016-09-18,18.16174331344811,75.81902248016591,23.92610013660237,13.499908200601112,53.13768904400506,96.30176611841198
2016-09-25,38,LIMA,COMAS,48,0,39,2016,2016-09-25,2016-09-25,18.584590989498437,74.95669249916388,22.97444818320156,15.007534573402438,53.12277817760198,95.3938488352104
2016-10-02,39,LIMA,COMAS,48,0,40,2016,2016-10-02,2016-10-02,18.664737868219987,73.91995467982042,23.855695773402488,14.886775817201851,50.28179668000624,94.51287682961082
2016-10-09,40,LIMA,COMAS,48,0,41,2016,2016-10-09,2016-10-09,18.54512336323429,76.12120773387768,23.26877752060267,15.100107956801708,53.63989956080351,93.58146512961083
2016-10-16,41,LIMA,COMAS,48,0,42,2016,2016-10-16,2016-10-16,18.93140688755229,75.44145109232322,23.653372137203466,14.389001574201243,51.91045135520395,93.88056399920907
2016-10-23,42,LIMA,COMAS,48,0,43,2016,2016-10-23,2016-10-23,18.48227324477691,75.11002561195589,23.494105949802304,14.807812970001637,52.51055412961079,95.9526500488136
2016-10-30,43,LIMA,COMAS,48,0,44,2016,2016-10-30,2016-10-30,18.08331862604132,75.5047952153703,23.25416662200257,14.215658129001952,50.91318556080348,95.3052804408099
2016-11-06,44,LIMA,COMAS,48,0,45,2016,2016-11-06,2016-11-06,18.583746953030538,75.87827353274216,23.984627659601472,14.311055371401494,52.1200235712115,96.55899493521036
2016-11-13,45,LIMA,COMAS,48,0,46,2016,2016-11-13,2016-11-13,19.57123976399537,74.6366498248655,24.5422324622034,15.41741070960137,52.05976755520405,94.17872392961084
2016-11-20,46,LIMA,COMAS,48,0,47,2016,2016-11-20,2016-11-20,19.893598644013984,74.06579136988069,25.47670427680322,15.600973149802371,44.60050436880732,92.00939815441316
2016-11-27,47,LIMA,COMAS,48,0,48,2016,2016-11-27,2016-11-27,19.28343007428469,74.92157103450984,24.33949188660239,15.011305556002924,48.74134986320775,93.62953149041444
2016-12-04,48,LIMA,COMAS,48,0,49,2016,2016-12-04,2016-12-04,20.003720068852424,75.2895639288482,25.783843210803525,15.077389784601394,52.23239411600746,94.01262572961085
2016-12-11,49,LIMA,COMAS,48,0,50,2016,2016-12-11,2016-12-11,20.59714682531413,74.02204096068546,25.88821398160394,16.59690571920288,51.36881524720022,92.23258808320152
2016-12-18,50,LIMA,COMAS,48,0,51,2016,2016-12-18,2016-12-18,20.273599094892013,74.96441363743442,25.37396455520405,15.963361456002872,50.61841602559318,95.49343408000632
2016-12-25,51,LIMA,COMAS,48,0,52,2016,2016-12-25,2016-12-25,21.542211615260666,73.61702499548626,26.884315762804533,17.834094227602066,48.97480226159443,94.73555948000627
2017-01-01,53,LIMA,COMAS,0,0,1,2017,2017-01-01,2017-01-01,22.039050582735356,74.97683429161707,27.084564676803268,18.03138609140308,48.26024127200241,95.15654264400504
2017-01-08,54,LIMA,COMAS,0,0,2,2017,2017-01-08,2017-01-08,22.7589906236784,71.14790636168647,28.35743642400348,18.7778815754034,45.28339822480215,91.50947377200252
2017-01-15,55,LIMA,COMAS,0,0,3,2017,2017-01-15,2017-01-15,22.85339533789321,70.65656945365555,27.77795580240433,19.49257407120376,43.79623232559308,90.714470877602
2017-01-22,56,LIMA,COMAS,0,0,4,2017,2017-01-22,2017-01-22,23.54868572368631,70.40800355146875,28.15143273080514,21.02585621980387,48.738037167193866,83.58518707519771
2017-01-29,57,LIMA,COMAS,0,0,5,2017,2017-01-29,2017-01-29,24.23155662391821,73.55706270515824,27.67376057260361,21.84839345800384,55.04683409199612,92.37939486320784
2017-02-05,58,LIMA,COMAS,0,0,6,2017,2017-02-05,2017-02-05,24.751903985789596,70.71537939627035,28.3319672038042,21.447861712203405,53.67055845599487,88.84068026320782
2017-02-12,59,LIMA,COMAS,0,0,7,2017,2017-02-12,2017-02-12,24.293823305361133,67.87776243185527,27.961869324604606,21.295274066403067,45.848098172793385,91.84227514640932
2017-02-19,60,LIMA,COMAS,1,1,8,2017,2017-02-19,2017-02-19,24.51293541935449,61.08692129962204,28.288180064805488,21.40573531280449,41.1977191063904,77.30748395599493
2017-02-26,61,LIMA,COMAS,2,1,9,2017,2017-02-26,2017-02-26,24.5777541032544,62.208897693852485,27.978581075403383,22.17392270520412,39.89373714720012,78.36556859759568
2017-03-05,62,LIMA,COMAS,2,0,10,2017,2017-03-05,2017-03-05,25.401840364233063,64.20056361353885,29.01351517740437,22.85350913920439,44.94179592799735,80.98815255839921
2017-03-12,63,LIMA,COMAS,3,1,11,2017,2017-03-12,2017-03-12,25.118511134764685,65.81367839044148,28.64795580240434,22.65905783300383,46.58409705599484,80.47155053359694
2017-03-19,64,LIMA,COMAS,16,13,12,2017,2017-03-19,2017-03-19,25.470988467440264,64.88461174880912,28.85017321060588,22.961192810803595,48.07326451119885,85.40541294160079
2017-03-26,65,LIMA,COMAS,38,22,13,2017,2017-03-26,2017-03-26,24.486279931621613,67.06883694778432,27.990071958003853,21.82710549620373,48.694706152799625,82.82063012480225
2017-04-02,66,LIMA,COMAS,74,36,14,2017,2017-04-02,2017-04-02,23.47444260815353,69.77738400434305,27.50175466360332,20.53767051360336,49.2627581888009,88.9021998576083
2017-04-09,67,LIMA,COMAS,107,33,15,2017,2017-04-09,2017-04-09,22.735706584878383,71.15446068107228,26.03178731080357,20.271446763603308,52.28743465279968,88.15971550480856
2017-04-16,68,LIMA,COMAS,148,41,16,2017,2017-04-16,2017-04-16,22.686900724456585,73.02461892081729,26.684645212203463,19.416683997002565,51.53703734720015,95.21539108241062
2017-04-23,69,LIMA,COMAS,159,11,17,2017,2017-04-23,2017-04-23,22.51715407022109,73.46598577265948,26.65889780320316,19.36837632200257,52.16727324960449,89.4515973432141
2017-04-30,70,LIMA,COMAS,167,8,18,2017,2017-04-30,2017-04-30,21.726123253167263,74.05712443840325,25.6342337490035,18.72194192680325,54.457008863998674,90.46925015760831
2017-05-07,71,LIMA,COMAS,175,8,19,2017,2017-05-07,2017-05-07,20.94208440326343,76.37991231301798,24.738333410202472,18.16559789420279,57.57766072720645,95.99540374080983
2017-05-14,72,LIMA,COMAS,193,18,20,2017,2017-05-14,2017-05-14,21.558446720046103,73.07011248640175,26.23578382540336,18.72200926160241,48.67675368320143,94.65493676880732
