Fecha,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max,Semana,Anho,Distrito
2015-01-04,22.106585587678385,79.2925293802915,25.388816793844057,19.846206915452115,65.29011101984803,90.45916863467204,01,2015,Total
2015-01-11,22.099501117928785,83.2281673969677,25.60088038335408,19.95453120433405,63.20841004698401,95.1699054520081,02,2015,Total
2015-01-18,23.0255920782424,77.8203433251473,27.6940262920221,19.009235037060137,53.858444898743855,95.4031746075361,03,2015,Total
2015-01-25,22.93308818563308,76.93934866258054,27.34590060621804,19.89431455559009,54.90692187160791,91.55751904698404,04,2015,Total
2015-02-01,23.695014719450626,79.51550195219355,28.65390238153208,21.19842798461008,51.17718554070391,95.85557827663207,05,2015,Total
2015-02-08,24.35894840782216,80.30913639280729,28.18949188153215,22.06135699139412,57.21512133819183,98.00420309396816,06,2015,Total
2015-02-15,25.305053233575887,76.89075506050766,29.84473419572811,22.71696074139413,48.38433513567977,97.92400386432011,07,2015,Total
2015-02-22,25.570386863716497,72.75797142696536,30.48930154880611,22.48899658090403,44.73126733090387,91.80493641231196,08,2015,Total
2015-03-01,25.19526316559538,72.33286169719551,30.13007603523812,21.57230933090409,50.93308664195982,97.55557827663208,09,2015,Total
2015-03-08,24.23328902802698,75.34804549163209,28.27538700992409,22.27436436300212,55.77922115552786,89.309756101256,10,2015,Total
2015-03-15,24.662405685175514,78.99207593745429,29.1574199846101,21.336855933982065,54.67786987160788,96.44095991859214,11,2015,Total
2015-03-22,26.623858214796673,64.76918448668387,30.295918867964133,24.13848323461008,41.52444936532779,80.92532356055199,12,2015,Total
2015-03-29,26.09947948198302,68.96612393287434,31.07925367537609,22.183990484610035,41.98221229120781,90.71128373592808,13,2015,Total
2015-04-05,24.06668694061448,72.33485708407167,28.42355963831608,20.89582354880605,45.33166689874384,93.70108860753612,14,2015,Total
2015-04-12,24.272188106044332,70.79255388928513,28.37719151670808,21.89598220929605,47.93652081733587,87.45182914824008,15,2015,Total
2015-04-19,23.883205322702374,74.68479733352896,27.943085087688075,20.965224337688085,56.66824566180797,90.41812930376804,16,2015,Total
2015-04-26,22.507904423366504,78.88772549818634,26.59753220251207,19.376662773492114,57.67377464195995,98.21985824949618,17,2015,Total
2015-05-03,23.02451044712365,79.09145980786889,27.14918404880609,19.527196869786053,59.552141019848,98.75094586432016,18,2015,Total
2015-05-10,23.028687332328722,77.92539851965977,26.342596037060048,20.15002352349211,59.91034509396805,96.42404901984814,19,2015,Total
