,Departamento,casosAccumAnho,nuevosCasos,Semana,Anho,ix
0,LIMA,0,0,1,2015,0
1,LIMA,0,0,2,2015,1
2,LIMA,0,0,3,2015,2
3,LIMA,0,0,4,2015,3
4,LIMA,0,0,5,2015,4
5,LIMA,0,0,6,2015,5
6,LIMA,0,0,7,2015,6
7,LIMA,0,0,8,2015,7
8,LIMA,0,0,9,2015,8
9,LIMA,0,0,10,2015,9
10,LIMA,0,0,11,2015,10
11,LIMA,2,2,12,2015,11
12,LIMA,2,0,13,2015,12
13,LIMA,2,0,14,2015,13
14,LIMA,2,0,15,2015,14
15,LIMA,2,0,16,2015,15
16,LIMA,2,0,17,2015,16
17,LIMA,2,0,18,2015,17
18,LIMA,2,0,19,2015,18
19,LIMA,2,0,20,2015,19
20,LIMA,3,1,21,2015,20
21,LIMA,3,0,22,2015,21
22,LIMA,3,0,23,2015,22
23,LIMA,4,1,24,2015,23
24,LIMA,5,1,25,2015,24
25,LIMA,5,0,26,2015,25
26,LIMA,5,0,27,2015,26
27,LIMA,5,0,28,2015,27
28,LIMA,5,0,29,2015,28
29,LIMA,8,3,30,2015,29
30,LIMA,8,0,31,2015,30
31,LIMA,8,0,32,2015,31
32,LIMA,8,0,33,2015,32
33,LIMA,9,1,34,2015,33
34,LIMA,9,0,35,2015,34
35,LIMA,9,0,36,2015,35
36,LIMA,9,0,37,2015,36
37,LIMA,9,0,38,2015,37
38,LIMA,9,0,39,2015,38
39,LIMA,9,0,40,2015,39
40,LIMA,9,0,41,2015,40
41,LIMA,9,0,42,2015,41
42,LIMA,9,0,43,2015,42
43,LIMA,9,0,44,2015,43
44,LIMA,9,0,45,2015,44
45,LIMA,9,0,46,2015,45
46,LIMA,9,0,47,2015,46
47,LIMA,9,0,48,2015,47
48,LIMA,9,0,49,2015,48
49,LIMA,9,0,50,2015,49
50,LIMA,9,0,51,2015,50
51,LIMA,9,0,52,2015,51
52,LIMA,9,0,53,2015,52
0,LIMA,0,0,1,2016,53
1,LIMA,0,0,2,2016,54
2,LIMA,0,0,3,2016,55
3,LIMA,1,1,4,2016,56
4,LIMA,1,0,5,2016,57
5,LIMA,2,1,6,2016,58
6,LIMA,3,1,7,2016,59
7,LIMA,4,1,8,2016,60
8,LIMA,5,1,9,2016,61
9,LIMA,6,1,10,2016,62
10,LIMA,10,4,11,2016,63
11,LIMA,11,1,12,2016,64
12,LIMA,21,10,13,2016,65
13,LIMA,31,10,14,2016,66
14,LIMA,35,4,15,2016,67
15,LIMA,42,7,16,2016,68
16,LIMA,46,4,17,2016,69
17,LIMA,53,7,18,2016,70
18,LIMA,56,3,19,2016,71
19,LIMA,58,2,20,2016,72
20,LIMA,58,0,21,2016,73
21,LIMA,58,0,22,2016,74
22,LIMA,58,0,23,2016,75
23,LIMA,58,0,24,2016,76
24,LIMA,58,0,25,2016,77
25,LIMA,58,0,26,2016,78
26,LIMA,58,0,27,2016,79
27,LIMA,58,0,28,2016,80
28,LIMA,58,0,29,2016,81
29,LIMA,58,0,30,2016,82
30,LIMA,58,0,31,2016,83
31,LIMA,58,0,32,2016,84
32,LIMA,58,0,33,2016,85
33,LIMA,58,0,34,2016,86
34,LIMA,58,0,35,2016,87
35,LIMA,58,0,36,2016,88
36,LIMA,58,0,37,2016,89
37,LIMA,58,0,38,2016,90
38,LIMA,58,0,39,2016,91
39,LIMA,58,0,40,2016,92
40,LIMA,58,0,41,2016,93
41,LIMA,58,0,42,2016,94
42,LIMA,58,0,43,2016,95
43,LIMA,58,0,44,2016,96
44,LIMA,58,0,45,2016,97
45,LIMA,58,0,46,2016,98
46,LIMA,58,0,47,2016,99
47,LIMA,58,0,48,2016,100
48,LIMA,58,0,49,2016,101
49,LIMA,58,0,50,2016,102
50,LIMA,58,0,51,2016,103
51,LIMA,58,0,52,2016,104
52,LIMA,58,0,53,2016,105
0,LIMA,0,0,1,2017,106
1,LIMA,0,0,2,2017,107
2,LIMA,0,0,3,2017,108
3,LIMA,0,0,4,2017,109
4,LIMA,0,0,5,2017,110
5,LIMA,0,0,6,2017,111
6,LIMA,0,0,7,2017,112
7,LIMA,1,1,8,2017,113
8,LIMA,4,3,9,2017,114
9,LIMA,4,0,10,2017,115
10,LIMA,5,1,11,2017,116
11,LIMA,21,16,12,2017,117
12,LIMA,48,27,13,2017,118
13,LIMA,94,46,14,2017,119
14,LIMA,142,48,15,2017,120
15,LIMA,205,63,16,2017,121
16,LIMA,234,29,17,2017,122
17,LIMA,254,20,18,2017,123
18,LIMA,281,27,19,2017,124
19,LIMA,309,28,20,2017,125
20,LIMA,328,19,21,2017,126
21,LIMA,337,9,22,2017,127
22,LIMA,349,12,23,2017,128
23,LIMA,351,2,24,2017,129
24,LIMA,352,1,25,2017,130
25,LIMA,353,1,26,2017,131
26,LIMA,353,0,27,2017,132
27,LIMA,353,0,28,2017,133
28,LIMA,353,0,29,2017,134
29,LIMA,354,1,30,2017,135
30,LIMA,354,0,31,2017,136
31,LIMA,354,0,32,2017,137
32,LIMA,354,0,33,2017,138
33,LIMA,354,0,34,2017,139
34,LIMA,354,0,35,2017,140
35,LIMA,354,0,36,2017,141
36,LIMA,354,0,37,2017,142
37,LIMA,354,0,38,2017,143
38,LIMA,354,0,39,2017,144
39,LIMA,354,0,40,2017,145
40,LIMA,354,0,41,2017,146
41,LIMA,354,0,42,2017,147
42,LIMA,354,0,43,2017,148
43,LIMA,355,1,44,2017,149
44,LIMA,356,1,45,2017,150
45,LIMA,358,2,46,2017,151
46,LIMA,358,0,47,2017,152
47,LIMA,359,1,48,2017,153
48,LIMA,359,0,49,2017,154
49,LIMA,360,1,50,2017,155
50,LIMA,361,1,51,2017,156
51,LIMA,362,1,52,2017,157
52,LIMA,362,0,53,2017,158
0,LIMA,0,0,1,2018,159
1,LIMA,0,0,2,2018,160
2,LIMA,1,1,3,2018,161
3,LIMA,1,0,4,2018,162
4,LIMA,1,0,5,2018,163
5,LIMA,1,0,6,2018,164
6,LIMA,1,0,7,2018,165
7,LIMA,1,0,8,2018,166
8,LIMA,1,0,9,2018,167
9,LIMA,1,0,10,2018,168
10,LIMA,1,0,11,2018,169
11,LIMA,1,0,12,2018,170
12,LIMA,1,0,13,2018,171
13,LIMA,1,0,14,2018,172
14,LIMA,1,0,15,2018,173
15,LIMA,1,0,16,2018,174
16,LIMA,1,0,17,2018,175
17,LIMA,4,3,18,2018,176
18,LIMA,9,5,19,2018,177
19,LIMA,10,1,20,2018,178
20,LIMA,10,0,21,2018,179
21,LIMA,10,0,22,2018,180
22,LIMA,10,0,23,2018,181
23,LIMA,10,0,24,2018,182
24,LIMA,10,0,25,2018,183
25,LIMA,10,0,26,2018,184
